filename,split,label,path
tongue_pale_000.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_000.jpg
tongue_pale_001.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_001.jpg
tongue_pale_002.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_002.jpg
tongue_pale_003.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_003.jpg
tongue_pale_004.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_004.jpg
tongue_pale_005.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_005.jpg
tongue_pale_006.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_006.jpg
tongue_pale_007.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_007.jpg
tongue_pale_008.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_008.jpg
tongue_pale_009.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_009.jpg
tongue_pale_010.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_010.jpg
tongue_pale_011.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_011.jpg
tongue_pale_012.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_012.jpg
tongue_pale_013.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_013.jpg
tongue_pale_014.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_014.jpg
tongue_pale_015.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_015.jpg
tongue_pale_016.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_016.jpg
tongue_pale_017.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_017.jpg
tongue_pale_018.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_018.jpg
tongue_pale_019.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_019.jpg
tongue_pale_020.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_020.jpg
tongue_pale_021.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_021.jpg
tongue_pale_022.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_022.jpg
tongue_pale_023.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_023.jpg
tongue_pale_024.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_024.jpg
tongue_pale_025.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_025.jpg
tongue_pale_026.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_026.jpg
tongue_pale_027.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_027.jpg
tongue_pale_028.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_028.jpg
tongue_pale_029.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_029.jpg
tongue_pale_030.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_030.jpg
tongue_pale_031.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_031.jpg
tongue_pale_032.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_032.jpg
tongue_pale_033.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_033.jpg
tongue_pale_034.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_034.jpg
tongue_pale_035.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_035.jpg
tongue_pale_036.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_036.jpg
tongue_pale_037.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_037.jpg
tongue_pale_038.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_038.jpg
tongue_pale_039.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_039.jpg
tongue_pale_040.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_040.jpg
tongue_pale_041.jpg,train,pale,C:\Users\SHANMUGA\Desktop\gut\data\tongue\train\pale\tongue_pale_041.jpg
